Experiment,Model,RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Overfitting
18,XGBoost,10.573484673391523,210.67706677819524,0.996074664471047,0.020200365311228263,19.92503637976325
18,LightGBM,105.04298176092564,189.42068357310026,0.6125866453342088,0.20794097644599185,1.803268342136512
19,Linear Regression,4.5115966819824037e-13,202.47324036785096,1.0,0.11094291177110249,448783999634656.75
19,Ridge,21.725713022280534,198.72557514922343,0.9875357916543145,0.14355020976510036,9.14702200776669
19,Lasso,25.294618080211315,49.31425504490821,0.9831044289278419,0.9472600958672135,1.9495947670974374
19,Random Forest,66.29057167317774,196.79468875249339,0.8839566784621976,0.1601124791409666,2.9686678480119335
19,XGBoost,8.925780312904124,199.2709851685191,0.9976082129773475,0.13884263948252618,22.325329347444313
19,LightGBM,84.57425346837093,173.86797183707716,0.7852632063491393,0.3444081312627756,2.0558026196719585
20,Linear Regression,2.802311998920557e-13,142.83491991042433,1.0,0.5205151143568169,509703844416481.7
20,Ridge,40.57993087330424,150.8884073758046,0.9499329782265861,0.46492103317156086,3.7183012422297512
20,Lasso,25.11165342209769,48.70786237913603,0.9808274548081419,0.9442423744150181,1.9396517449653161
20,Random Forest,57.23990872260751,157.21117176857587,0.9003844774300103,0.4191380344878243,2.746530790788694
20,XGBoost,124.1325595951273,189.14261159744038,0.5606458215064201,0.15921511974506342,1.5237147466736436
20,LightGBM,159.3117907320274,185.52417325629585,0.27633231710990747,0.19107708067324936,1.1645351069360546
21,Linear Regression,3.0545074395440504e-13,129.2007177937083,1.0,0.22002048735698676,422983804593365.9
21,Ridge,95.67174801939564,134.47774745570177,0.6389174267052846,0.15500489255983507,1.4056160803964715
21,Lasso,25.14675062279731,51.93318635758208,0.9750538884100736,0.8739788955158608,2.0652046515505256
21,Random Forest,55.50836214503295,131.8916422487451,0.878449727492331,0.1871921406099818,2.376067986011494
21,XGBoost,17.82593235820993,122.87824789677316,0.987829532625861,0.29448969294365124,6.893229786108789
21,LightGBM,102.90426898499099,144.43345734190862,0.5944265363565018,0.02525962176970009,1.4035710934691623
22,Linear Regression,3.7783307276914773e-13,159.9925028111054,1.0,0.32888845823177626,423447586624740.06
22,Ridge,57.43309071318575,169.32655665940808,0.9250024481829641,0.2482981880481493,2.9482403707821585
22,Lasso,18.390999501383025,49.98950184901019,0.9923098754140718,0.9344831420626775,2.718150356387695
22,Random Forest,63.00418623180719,175.783919954493,0.9097470255807986,0.18987183110450156,2.7900355590300414
22,XGBoost,15.919778343135665,167.76195079028685,0.9940596980695773,0.26212570961509074,10.537957701064533
22,LightGBM,94.38610762458883,169.5145484200115,0.7911903142807124,0.24662813468630607,1.795969265882204
23,Linear Regression,4.818784165785306e-13,172.58170542607,1.0,0.11917578085594582,358143671699279.7
23,Ridge,7.269138870008683,171.99651317806507,0.9982976931359191,0.1251390734756248,23.661195122808216
23,Lasso,20.813031513019702,38.01853505807293,0.986044589929619,0.9572544911029951,1.8266697493966813
23,Random Forest,58.485160197492,149.04607923435512,0.8898046454584446,0.3430370965663939,2.5484426943699576
23,XGBoost,105.27422452006599,151.2729773915286,0.5984760295262885,0.3232590688204082,1.4369422152589206
23,LightGBM,123.45957807366531,138.76623385421368,0.4477738705369191,0.43053460517690967,1.123981112031788
24,Linear Regression,3.5997236931698716e-13,122.74477932889504,1.0,0.4489212965544863,340983891518650.2
24,Ridge,1.0115116401491062,122.66472498165962,0.999972729640521,0.44963989101979385,121.26872308021854
24,Lasso,20.940175854204874,41.42907188921327,0.9883128197483999,0.9372204819481532,1.9784490912426669
24,Random Forest,50.11182483194595,110.60504026621585,0.9330686585878087,0.5525367162392987,2.2071644893623166
24,XGBoost,20.333008175815465,120.00649088568588,0.9898350045672223,0.47323484090998613,5.902052949962627
