Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score
16,Random Forest,0.15249848365783691,0.08267617225646973,12.546117684578082,10.341158678200848,-0.22249117567637855
16,XGBoost,0.04835796356201172,0.003056764602661133,11.31140395117059,9.223629654363473,0.00628912374934365
16,LightGBM,0.013669729232788086,0.0027856826782226562,11.374628112794078,9.250131530408854,-0.004850451708950043
17,Linear Regression,0.0013096332550048828,0.00037670135498046875,9.914152127189604,7.935721260784913,0.04762553277626558
17,Ridge,3.2614033222198486,0.00012540817260742188,10.167218676885772,8.176342334028508,-0.0016152202465824494
17,Lasso,0.0268094539642334,0.00013184547424316406,10.171026852827401,8.18000873075086,-0.0023656794315627394
17,Random Forest,0.13354229927062988,0.05615067481994629,10.617469933630845,8.509018459095772,-0.0922917816204234
17,XGBoost,0.058635711669921875,0.003192901611328125,10.168448655613794,8.001878059274866,-0.001857575599052863
17,LightGBM,0.014053106307983398,0.0027909278869628906,11.587590471813058,8.991221676912556,-0.30101667329683823
18,Linear Regression,0.001341104507446289,0.00033092498779296875,10.430150837229688,8.436414954582458,0.05233145178013665
18,Ridge,0.4152853488922119,0.00016832351684570312,10.387991106073464,8.40110054237979,0.05997711364686631
18,Lasso,0.029668807983398438,0.000141143798828125,10.376728648973657,8.389816755390152,0.062014317612613
18,Random Forest,0.14013099670410156,0.05584859848022461,12.093171406776241,9.66381641853757,-0.27395974767510967
18,XGBoost,0.11681318283081055,0.003274202346801758,11.059008564540237,9.02726587837593,-0.06538769841105374
18,LightGBM,0.011093616485595703,0.002785205841064453,11.012360772852416,8.953475276419265,-0.05641887121863465
19,Linear Regression,0.0007359981536865234,0.00020837783813476562,11.260062391550834,8.99336050723622,-0.04746183869429199
19,Ridge,0.40909504890441895,0.0001628398895263672,10.928835630322634,8.687146480898944,0.013256204671255767
19,Lasso,0.027778148651123047,0.00014400482177734375,11.259918525544338,8.993222206175403,-0.04743507273443015
19,Random Forest,0.14734387397766113,0.08212733268737793,16.288248637789913,13.29798509548921,-1.191822576912854
19,XGBoost,0.09668827056884766,0.003428936004638672,10.979337804842876,8.735060483797861,0.004115643393641011
19,LightGBM,0.01480865478515625,0.002840757369995117,11.668845701853694,9.450520563719953,-0.12489609747172947
20,Linear Regression,0.001260995864868164,0.0003159046173095703,9.805125947138317,7.977228580993257,0.10661753240233807
