Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score,SHAP Time (s)
10,Linear Regression,0.0049173831939697266,0.025650739669799805,5.560819682424019,4.439828643375731,0.38814887898220485,0.0015499591827392578
10,Ridge,0.9698922634124756,0.00013399124145507812,5.560969992006654,4.439849090840498,0.3881158017256754,0.0008273124694824219
10,Lasso,0.05257987976074219,0.0001652240753173828,5.561014649848779,4.439653885092981,0.38810597411010317,0.0007877349853515625
10,Random Forest,1.3936781883239746,0.05987381935119629,5.263125543080934,4.157325876859657,0.4519053110929432,75.0841498374939
10,XGBoost,2.4881751537323,0.01364755630493164,5.140232640792762,4.069736451478786,0.4772022799956229,2.745684862136841
10,LightGBM,0.12160849571228027,0.006311655044555664,5.176709167634463,4.102723696184739,0.46975611602681555,3.383824348449707
11,Linear Regression,0.008844137191772461,0.017226457595825195,5.587973362971548,4.472420659938204,0.37345345564501486,0.0011339187622070312
11,Ridge,1.5231716632843018,0.0002646446228027344,5.588102480208881,4.47265023043933,0.3734245009996584,0.0011649131774902344
11,Lasso,0.08388662338256836,0.0001544952392578125,5.584057651072347,4.4702643371365145,0.37433123941797286,0.0007832050323486328
11,Random Forest,1.3428726196289062,0.06035804748535156,5.251572875583899,4.241165105799901,0.44661997630443606,79.06604552268982
11,XGBoost,1.652989149093628,0.009858131408691406,5.092514134101212,4.111920200298377,0.4796336908185973,2.451855421066284
11,LightGBM,0.11121106147766113,0.007498979568481445,5.073893388826894,4.101418483209932,0.4834321656945645,4.333417177200317
12,Linear Regression,0.010375499725341797,0.017517566680908203,5.500238328466451,4.428613777881354,0.34743775109900565,0.001531362533569336
12,Ridge,0.8970687389373779,0.00013113021850585938,5.500154979081726,4.428610362495244,0.3474575285146667,0.0008008480072021484
12,Lasso,0.05089211463928223,0.00018548965454101562,5.49681184370073,4.42745994716112,0.3482505515603721,0.0007674694061279297
12,Random Forest,1.3397440910339355,0.0599522590637207,5.18520938411271,4.1623755468784625,0.42004869981021187,77.90029430389404
12,XGBoost,2.7017159461975098,0.014259815216064453,5.0891944898765,4.102330162377057,0.44132784466093133,2.841663360595703
12,LightGBM,0.11485981941223145,0.007386684417724609,5.082667177895262,4.0948204597373365,0.4427600119361387,6.393027305603027
13,Linear Regression,0.012545108795166016,0.02572488784790039,5.659356369464155,4.476638725437871,0.35996508565413465,0.002048969268798828
13,Ridge,1.5531561374664307,0.00021910667419433594,5.659525223112939,4.477033552844648,0.3599268926739395,0.0011529922485351562
13,Lasso,0.1212153434753418,0.00027561187744140625,5.659784456420025,4.479008416053981,0.35986825451543625,0.001155853271484375
13,Random Forest,1.298234224319458,0.060384511947631836,5.2927983760808415,4.189700510074482,0.4401904774872668,77.94313764572144
13,XGBoost,3.6138532161712646,0.015955686569213867,5.172526736160594,4.1003974463497155,0.4653432311954079,3.1182806491851807
13,LightGBM,0.1312708854675293,0.00882411003112793,5.172386311627444,4.090438551117442,0.46537226068596727,4.882609128952026
14,Linear Regression,0.0020303726196289062,0.022852659225463867,5.652434702902531,4.48857888623175,0.3635850397077697,0.0022208690643310547
14,Ridge,1.5571355819702148,0.00022363662719726562,5.652365330442908,4.4887759675494,0.3636006610824629,0.001199483871459961
14,Lasso,0.12257671356201172,0.000293731689453125,5.649018121817334,4.489615111185447,0.36435416179031677,0.0010883808135986328
14,Random Forest,1.3373417854309082,0.058365821838378906,5.3971569895047775,4.3056263569416355,0.41977107701522964,80.90470743179321
14,XGBoost,2.7470335960388184,0.01130366325378418,5.259908917800868,4.173250125804627,0.4489059530837658,3.338984251022339
14,LightGBM,0.14470148086547852,0.008067607879638672,5.247168644117691,4.165200183334145,0.4515723817375481,4.38443922996521
15,Linear Regression,0.0028667449951171875,0.028823375701904297,5.425988629940765,4.318739542944362,0.3870723855533913,0.005501747131347656
15,Ridge,0.899843692779541,0.0001494884490966797,5.426170415918111,4.318750456819611,0.38703131524546985,0.0008134841918945312
